State,City,Year,Month,Day,Store type,Price per kilogram
D.F.,ZM D.F.,2023,1,18,Mom and Pop Store,20.0
Durango,Durango,2023,1,18,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,1,18,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,1,18,Mom and Pop Store,23.0
Guanajuato,León,2023,1,18,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,1,18,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,1,18,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,1,18,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,1,18,Mom and Pop Store,24.15
Jalisco,ZM Guadalajara,2023,1,18,Mom and Pop Store,24.15
Edo. México,Toluca,2023,1,18,Mom and Pop Store,19.0
Michoacán,Morelia,2023,1,18,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,1,18,Mom and Pop Store,26.0
Nayarit,Tepic,2023,1,18,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,1,18,Mom and Pop Store,23.0
