State,City,Year,Month,Day,Store type,Price per kilogram
Baja California,Tijuana,2023,3,24,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,3,24,Mom and Pop Store,27.0
Campeche,Campeche,2023,3,24,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,3,24,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,3,24,Mom and Pop Store,21.0
Coahuila,Torreón,2023,3,24,Mom and Pop Store,24.0
Colima,Colima,2023,3,24,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,3,24,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,3,24,Mom and Pop Store,20.0
Chihuahua,Chihuahua,2023,3,24,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,3,24,Mom and Pop Store,23.67
D.F.,D.F.,2023,3,24,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,3,24,Mom and Pop Store,19.96
Durango,Durango,2023,3,24,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,3,24,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,3,24,Mom and Pop Store,24.0
Guanajuato,León,2023,3,24,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,3,24,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,3,24,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,3,24,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,3,24,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,3,24,Mom and Pop Store,24.2
Edo. México,Toluca,2023,3,24,Mom and Pop Store,19.0
Michoacán,Morelia,2023,3,24,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,3,24,Mom and Pop Store,26.0
Nayarit,Tepic,2023,3,24,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,3,24,Mom and Pop Store,23.13
Nuevo León,ZM Monterrey,2023,3,24,Mom and Pop Store,23.16
Oaxaca,Oaxaca,2023,3,24,Mom and Pop Store,22.17
Puebla,Puebla,2023,3,24,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,3,24,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,3,24,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,3,24,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,3,24,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,3,24,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,3,24,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,3,24,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,3,24,Mom and Pop Store,30.67
Sonora,Nogales,2023,3,24,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,3,24,Mom and Pop Store,
Tabasco,Villahermosa,2023,3,24,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,3,24,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,3,24,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,3,24,Mom and Pop Store,25.0
Tamaulipas,Reynosa,2023,3,24,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,3,24,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,3,24,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,3,24,Mom and Pop Store,22.0
Veracruz,Veracruz,2023,3,24,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,3,24,Mom and Pop Store,18.5
Yucatán,Mérida,2023,3,24,Mom and Pop Store,27.29
Zacatecas,Zacatecas,2023,3,24,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,3,27,Mom and Pop Store,21.33
Baja California,Mexicali,2023,3,27,Mom and Pop Store,30.29
Baja California,Tijuana,2023,3,27,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,3,27,Mom and Pop Store,27.0
Campeche,Campeche,2023,3,27,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,3,27,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,3,27,Mom and Pop Store,22.0
Coahuila,Torreón,2023,3,27,Mom and Pop Store,24.0
Colima,Colima,2023,3,27,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,3,27,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,3,27,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,3,27,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,3,27,Mom and Pop Store,23.67
D.F.,D.F.,2023,3,27,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,3,27,Mom and Pop Store,19.96
Durango,Durango,2023,3,27,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,3,27,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,3,27,Mom and Pop Store,24.0
Guanajuato,León,2023,3,27,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,3,27,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,3,27,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,3,27,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,3,27,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,3,27,Mom and Pop Store,24.2
Edo. México,Toluca,2023,3,27,Mom and Pop Store,19.0
Michoacán,Morelia,2023,3,27,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,3,27,Mom and Pop Store,26.0
Nayarit,Tepic,2023,3,27,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,3,27,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,3,27,Mom and Pop Store,23.16
Oaxaca,Oaxaca,2023,3,27,Mom and Pop Store,22.17
Puebla,Puebla,2023,3,27,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,3,27,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,3,27,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,3,27,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,3,27,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,3,27,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,3,27,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,3,27,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,3,27,Mom and Pop Store,30.83
Sonora,Nogales,2023,3,27,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,3,27,Mom and Pop Store,
Tabasco,Villahermosa,2023,3,27,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,3,27,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,3,27,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,3,27,Mom and Pop Store,25.0
Tamaulipas,Reynosa,2023,3,27,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,3,27,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,3,27,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,3,27,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,3,27,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,3,27,Mom and Pop Store,18.5
Yucatán,Mérida,2023,3,27,Mom and Pop Store,27.29
Zacatecas,Zacatecas,2023,3,27,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,3,29,Mom and Pop Store,21.33
Baja California,Mexicali,2023,3,29,Mom and Pop Store,30.14
Baja California,Tijuana,2023,3,29,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,3,29,Mom and Pop Store,27.0
Campeche,Campeche,2023,3,29,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,3,29,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,3,29,Mom and Pop Store,22.0
Coahuila,Torreón,2023,3,29,Mom and Pop Store,24.0
Colima,Colima,2023,3,29,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,3,29,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,3,29,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,3,29,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,3,29,Mom and Pop Store,23.67
D.F.,D.F.,2023,3,29,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,3,29,Mom and Pop Store,19.96
Durango,Durango,2023,3,29,Mom and Pop Store,20.25
Durango,Gómez Palacio,2023,3,29,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,3,29,Mom and Pop Store,24.0
Guanajuato,León,2023,3,29,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,3,29,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,3,29,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,3,29,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,3,29,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,3,29,Mom and Pop Store,24.15
Edo. México,Toluca,2023,3,29,Mom and Pop Store,19.0
Michoacán,Morelia,2023,3,29,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,3,29,Mom and Pop Store,26.0
Nayarit,Tepic,2023,3,29,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,3,29,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,3,29,Mom and Pop Store,23.16
Oaxaca,Oaxaca,2023,3,29,Mom and Pop Store,22.17
Puebla,Puebla,2023,3,29,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,3,29,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,3,29,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,3,29,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,3,29,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,3,29,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,3,29,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,3,29,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,3,29,Mom and Pop Store,30.83
Sonora,Nogales,2023,3,29,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,3,29,Mom and Pop Store,
Tabasco,Villahermosa,2023,3,29,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,3,29,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,3,29,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,3,29,Mom and Pop Store,25.0
Tamaulipas,Reynosa,2023,3,29,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,3,29,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,3,29,Mom and Pop Store,16.0
Veracruz,Coatzacoalcos,2023,3,29,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,3,29,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,3,29,Mom and Pop Store,18.5
Yucatán,Mérida,2023,3,29,Mom and Pop Store,27.29
Zacatecas,Zacatecas,2023,3,29,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,3,31,Mom and Pop Store,21.33
Baja California,Mexicali,2023,3,31,Mom and Pop Store,30.14
Baja California,Tijuana,2023,3,31,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,3,31,Mom and Pop Store,27.0
Campeche,Campeche,2023,3,31,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,3,31,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,3,31,Mom and Pop Store,22.0
Coahuila,Torreón,2023,3,31,Mom and Pop Store,24.0
Colima,Colima,2023,3,31,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,3,31,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,3,31,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,3,31,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,3,31,Mom and Pop Store,23.89
D.F.,D.F.,2023,3,31,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,3,31,Mom and Pop Store,19.96
Durango,Durango,2023,3,31,Mom and Pop Store,20.75
Durango,Gómez Palacio,2023,3,31,Mom and Pop Store,25.5
Guanajuato,Celaya,2023,3,31,Mom and Pop Store,24.0
Guanajuato,León,2023,3,31,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,3,31,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,3,31,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,3,31,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,3,31,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,3,31,Mom and Pop Store,24.2
Edo. México,Toluca,2023,3,31,Mom and Pop Store,19.0
Michoacán,Morelia,2023,3,31,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,3,31,Mom and Pop Store,26.0
Nayarit,Tepic,2023,3,31,Mom and Pop Store,23.33
Nuevo León,Monterrey,2023,3,31,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,3,31,Mom and Pop Store,23.16
Oaxaca,Oaxaca,2023,3,31,Mom and Pop Store,22.17
Puebla,Puebla,2023,3,31,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,3,31,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,3,31,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,3,31,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,3,31,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,3,31,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,3,31,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,3,31,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,3,31,Mom and Pop Store,30.83
Sonora,Nogales,2023,3,31,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,3,31,Mom and Pop Store,
Tabasco,Villahermosa,2023,3,31,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,3,31,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,3,31,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,3,31,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,3,31,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,3,31,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,3,31,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,3,31,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,3,31,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,3,31,Mom and Pop Store,18.5
Yucatán,Mérida,2023,3,31,Mom and Pop Store,27.29
Zacatecas,Zacatecas,2023,3,31,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,4,3,Mom and Pop Store,21.33
Baja California,Mexicali,2023,4,3,Mom and Pop Store,30.14
Baja California,Tijuana,2023,4,3,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,4,3,Mom and Pop Store,27.0
Campeche,Campeche,2023,4,3,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,4,3,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,4,3,Mom and Pop Store,22.0
Coahuila,Torreón,2023,4,3,Mom and Pop Store,24.0
Colima,Colima,2023,4,3,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,4,3,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,4,3,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,4,3,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,4,3,Mom and Pop Store,23.89
D.F.,D.F.,2023,4,3,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,4,3,Mom and Pop Store,19.96
Durango,Durango,2023,4,3,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,4,3,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,4,3,Mom and Pop Store,24.0
Guanajuato,León,2023,4,3,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,4,3,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,4,3,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,4,3,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,4,3,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,4,3,Mom and Pop Store,24.2
Edo. México,Toluca,2023,4,3,Mom and Pop Store,19.0
Michoacán,Morelia,2023,4,3,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,4,3,Mom and Pop Store,26.0
Nayarit,Tepic,2023,4,3,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,4,3,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,4,3,Mom and Pop Store,23.16
Oaxaca,Oaxaca,2023,4,3,Mom and Pop Store,22.17
Puebla,Puebla,2023,4,3,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,4,3,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,4,3,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,4,3,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,4,3,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,4,3,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,4,3,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,4,3,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,4,3,Mom and Pop Store,30.83
Sonora,Nogales,2023,4,3,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,4,3,Mom and Pop Store,
Tabasco,Villahermosa,2023,4,3,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,4,3,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,4,3,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,4,3,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,4,3,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,4,3,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,4,3,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,4,3,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,4,3,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,4,3,Mom and Pop Store,18.5
Yucatán,Mérida,2023,4,3,Mom and Pop Store,27.29
Zacatecas,Zacatecas,2023,4,3,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,4,5,Mom and Pop Store,21.33
Baja California,Mexicali,2023,4,5,Mom and Pop Store,30.14
Baja California,Tijuana,2023,4,5,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,4,5,Mom and Pop Store,27.0
Campeche,Campeche,2023,4,5,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,4,5,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,4,5,Mom and Pop Store,22.0
Coahuila,Torreón,2023,4,5,Mom and Pop Store,24.0
Colima,Colima,2023,4,5,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,4,5,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,4,5,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,4,5,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,4,5,Mom and Pop Store,23.89
D.F.,D.F.,2023,4,5,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,4,5,Mom and Pop Store,19.96
Durango,Durango,2023,4,5,Mom and Pop Store,21.25
Durango,Gómez Palacio,2023,4,5,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,4,5,Mom and Pop Store,24.0
Guanajuato,León,2023,4,5,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,4,5,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,4,5,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,4,5,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,4,5,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,4,5,Mom and Pop Store,24.2
Edo. México,Toluca,2023,4,5,Mom and Pop Store,19.0
Michoacán,Morelia,2023,4,5,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,4,5,Mom and Pop Store,26.0
Nayarit,Tepic,2023,4,5,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,4,5,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,4,5,Mom and Pop Store,23.21
Oaxaca,Oaxaca,2023,4,5,Mom and Pop Store,22.17
Puebla,Puebla,2023,4,5,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,4,5,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,4,5,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,4,5,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,4,5,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,4,5,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,4,5,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,4,5,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,4,5,Mom and Pop Store,30.83
Sonora,Nogales,2023,4,5,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,4,5,Mom and Pop Store,
Tabasco,Villahermosa,2023,4,5,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,4,5,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,4,5,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,4,5,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,4,5,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,4,5,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,4,5,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,4,5,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,4,5,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,4,5,Mom and Pop Store,18.5
Yucatán,Mérida,2023,4,5,Mom and Pop Store,27.57
Zacatecas,Zacatecas,2023,4,5,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,4,10,Mom and Pop Store,21.33
Baja California,Mexicali,2023,4,10,Mom and Pop Store,30.14
Baja California,Tijuana,2023,4,10,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,4,10,Mom and Pop Store,27.0
Campeche,Campeche,2023,4,10,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,4,10,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,4,10,Mom and Pop Store,22.0
Coahuila,Torreón,2023,4,10,Mom and Pop Store,24.0
Colima,Colima,2023,4,10,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,4,10,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,4,10,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,4,10,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,4,10,Mom and Pop Store,23.89
D.F.,D.F.,2023,4,10,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,4,10,Mom and Pop Store,19.96
Durango,Durango,2023,4,10,Mom and Pop Store,21.25
Durango,Gómez Palacio,2023,4,10,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,4,10,Mom and Pop Store,24.0
Guanajuato,León,2023,4,10,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,4,10,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,4,10,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,4,10,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,4,10,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,4,10,Mom and Pop Store,24.2
Edo. México,Toluca,2023,4,10,Mom and Pop Store,19.0
Michoacán,Morelia,2023,4,10,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,4,10,Mom and Pop Store,26.0
Nayarit,Tepic,2023,4,10,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,4,10,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,4,10,Mom and Pop Store,23.05
Oaxaca,Oaxaca,2023,4,10,Mom and Pop Store,22.17
Puebla,Puebla,2023,4,10,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,4,10,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,4,10,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,4,10,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,4,10,Mom and Pop Store,24.0
San Luis Potosí,San Luis Potosí,2023,4,10,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,4,10,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,4,10,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,4,10,Mom and Pop Store,30.83
Sonora,Nogales,2023,4,10,Mom and Pop Store,25.0
Sonora,San Luis Río Colorado,2023,4,10,Mom and Pop Store,
Tabasco,Villahermosa,2023,4,10,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,4,10,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,4,10,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,4,10,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,4,10,Mom and Pop Store,25.25
Tamaulipas,Tampico,2023,4,10,Mom and Pop Store,28.0
Tlaxcala,Tlaxcala,2023,4,10,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,4,10,Mom and Pop Store,22.5
Veracruz,Veracruz,2023,4,10,Mom and Pop Store,22.5
Veracruz,Xalapa,2023,4,10,Mom and Pop Store,18.5
Yucatán,Mérida,2023,4,10,Mom and Pop Store,27.86
Zacatecas,Zacatecas,2023,4,10,Mom and Pop Store,20.0
Aguascalientes,Aguascalientes,2023,4,12,Mom and Pop Store,21.33
Baja California,Mexicali,2023,4,12,Mom and Pop Store,30.14
Baja California,Tijuana,2023,4,12,Mom and Pop Store,25.73
Baja California Sur,La Paz,2023,4,12,Mom and Pop Store,27.0
Campeche,Campeche,2023,4,12,Mom and Pop Store,24.0
Coahuila,Piedras Negras,2023,4,12,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,4,12,Mom and Pop Store,22.0
Coahuila,Torreón,2023,4,12,Mom and Pop Store,24.0
Colima,Colima,2023,4,12,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,4,12,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,4,12,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,4,12,Mom and Pop Store,25.33
Chihuahua,Cd. Juárez,2023,4,12,Mom and Pop Store,23.89
D.F.,D.F.,2023,4,12,Mom and Pop Store,20.21
D.F.,ZM D.F.,2023,4,12,Mom and Pop Store,19.96
Durango,Durango,2023,4,12,Mom and Pop Store,21.25
Durango,Gómez Palacio,2023,4,12,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,4,12,Mom and Pop Store,24.0
Guanajuato,León,2023,4,12,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,4,12,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,4,12,Mom and Pop Store,25.33
Hidalgo,Pachuca,2023,4,12,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,4,12,Mom and Pop Store,24.23
Jalisco,ZM Guadalajara,2023,4,12,Mom and Pop Store,24.2
Edo. México,Toluca,2023,4,12,Mom and Pop Store,19.43
Michoacán,Morelia,2023,4,12,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,4,12,Mom and Pop Store,26.0
Nayarit,Tepic,2023,4,12,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,4,12,Mom and Pop Store,23.25
Nuevo León,ZM Monterrey,2023,4,12,Mom and Pop Store,23.05
Oaxaca,Oaxaca,2023,4,12,Mom and Pop Store,22.33
Puebla,Puebla,2023,4,12,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,4,12,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,4,12,Mom and Pop Store,23.67
Quintana Roo,Cancún,2023,4,12,Mom and Pop Store,26.0
